loops.thisTrialN,loops.stepSize,loops.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,loops.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
19,0.5,1.0,42.012789600063115,42.513487099902704,42.513487099902704,42.513487099902704,42.81318049994297,left,-1.0,0,0,1.1343088999856263,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
20,0.5,1.5,43.67919970001094,44.18054370000027,44.18054370000027,44.18054370000027,44.47974149999209,right,1.5,1,1,1.1016971000935882,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
21,0.5,1.5,45.312357699964195,45.81296449992806,45.81296449992806,45.81296449992806,46.11297470005229,left,-1.5,1,1,0.9831546999048442,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
22,0.5,1.5,46.812363900011405,47.31278549996205,47.31278549996205,47.31278549996205,47.61316019995138,right,1.5,1,1,1.064481400186196,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
23,0.5,1.0,48.396186999976635,48.89614999992773,48.89614999992773,48.89614999992773,49.195944499922916,left,-1.0,1,1,0.8263228998985142,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
24,0.5,1.0,49.74629219993949,50.24599249986932,50.24599249986932,50.24599249986932,50.5459114999976,left,-1.0,1,1,0.7028942999895662,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
25,0.5,1.0,50.97951689991169,51.4789569999557,51.4789569999557,51.4789569999557,51.778916500043124,left,-1.0,1,1,0.7472453999798745,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
26,0.5,0.5,52.24538960005157,52.7458657999523,52.7458657999523,52.7458657999523,53.04586010007188,left,-0.5,1,1,0.9261618000455201,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
27,0.5,0.5,53.695527100004256,54.195863199885935,54.17923539993353,54.17923539993353,54.478949500015005,right,0.5,1,1,0.6353441998362541,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
28,0.5,0.5,54.845443499973044,55.3455902999267,55.3455902999267,55.3455902999267,55.64552209991962,right,0.5,1,1,0.6629349000286311,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
29,0.5,0.0,56.028166600037366,56.529292499879375,56.511802199995145,56.511802199995145,56.81226660008542,left,-0.0,1,1,0.9315543998964131,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
30,0.5,0.0,57.46190289990045,57.96192210004665,57.96192210004665,57.96192210004665,58.26221839990467,left,-0.0,0,0,1.785886300029233,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
31,0.5,0.5,59.779071300057694,60.278242599917576,60.26199929998256,60.26199929998256,60.562113699968904,left,-0.5,1,1,0.7934617998544127,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
32,0.5,0.5,61.07877859985456,61.57893650000915,61.56155649991706,61.56155649991706,61.86184410005808,left,-0.5,1,1,0.7992698000743985,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
33,0.5,0.5,62.37819870002568,62.878480799961835,62.878480799961835,62.878480799961835,63.179260100005195,right,0.5,0,0,0.8437315998598933,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
34,0.5,1.0,63.74435459985398,64.24558430002071,64.24558430002071,64.24558430002071,64.5449951000046,right,1.0,1,1,0.6193480000365525,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
